;BUSINESSPARTNERID2;FIRSTCONTACTDATE2;BUSINESSPARTNERCATEGORY2;GIVENNAMES;LASTNAME;CONSULTATION;GENDER;NAMEATBIRTH;DATEOFBIRTH;PLACEOFBIRTH;MARITALSTATUS;EDUCATIONLEVEL;ISHOMEOWNER;NUMBERHOUSEHOLDMEMBERS;CHILDRENATHOMEINDICATOR
241;6259;09.10.2014;Individual;Kayla;Rim;;female;Rim;15.08.1980;;Married;SmeCollege;0;4;0
242;6469;01.04.2015;Individual;Amanda;Garcia;;female;Garcia;02.11.1985;;Married;AssocDgree;1;1;1
243;6260;14.04.2016;Individual;Nicole;Rim;;female;Rim;10.05.1982;;Single;Bachelor;0;2;0
244;6261;03.09.2012;Individual;Amber;Rodriguez;;female;Rodriguez;24.01.1973;;Single;Bachelor;1;4;1
245;6470;22.03.2013;Individual;Anna;Garcia;;female;Garcia;10.12.1978;;Single;Bachelor;1;4;1
246;6262;13.04.2016;Individual;Brianna;Rodriguez;;female;Rodriguez;01.02.1985;;Married;SmeCollege;1;4;0
247;6471;29.03.2014;Individual;Danielle;Garcia;;female;Garcia;02.11.1966;;Single;Master;0;1;1
248;6472;21.08.2014;Individual;Hannah;Garcia;;female;Garcia;05.02.1985;;Married;Bachelor;0;3;1
249;6263;27.01.2016;Individual;Jasmine;Rodriguez;;female;Rodriguez;17.01.1985;;Single;SmeCollege;1;2;0
250;6473;22.01.2014;Individual;Alexis;Maclead;;female;Maclead;12.06.1962;;Married;HighSchool;0;1;0
251;6264;30.03.2016;Individual;Abigail;Venere;;female;Venere;07.05.1965;;Married;HighSchool;0;4;0
252;6474;10.03.2014;Individual;Allison;Maclead;;female;Maclead;05.09.1960;;Single;HighSchool;0;3;1
253;6265;08.05.2017;Individual;Alyssa;Venere;;female;Venere;31.12.1963;;Single;HighSchool;0;3;1
254;6475;03.02.2012;Individual;Amanda;Maclead;;female;Maclead;06.06.1974;;Married;HighSchool;1;4;0
255;6266;14.11.2016;Individual;Brittany;Venere;;female;Venere;19.04.1982;;Married;HighSchool;0;2;1
256;6476;19.06.2013;Individual;Anna;Maclead;;female;Maclead;22.04.1982;;Married;Master;1;1;1
257;6267;03.03.2013;Individual;Jennifer;Venere;;female;Venere;20.06.1959;;Single;SmeCollege;1;2;0
258;6268;08.08.2014;Individual;Rebecca;Venere;;female;Venere;26.07.1983;;Single;Bachelor;1;2;0
259;6477;27.11.2013;Individual;Danielle;Maclead;;female;Maclead;15.12.1959;;Married;SmeCollege;0;2;0
260;6269;26.03.2012;Individual;Haley;Caldarera;;female;Caldarera;20.09.1961;;Single;Bachelor;1;3;0
261;6478;23.07.2016;Individual;Hannah;Maclead;;female;Maclead;04.07.1986;;Single;AssocDgree;0;1;1
262;6270;27.02.2012;Individual;Kimberly;Caldarera;;female;Caldarera;03.07.1973;;Married;Bachelor;0;4;1
263;6271;19.08.2016;Individual;Taylor;Caldarera;;female;Caldarera;27.11.1969;;Married;HighSchool;0;2;0
264;6479;16.11.2015;Individual;Melissa;Maclead;;female;Maclead;26.06.1962;;Married;Bachelor;0;2;1
265;6272;25.02.2015;Individual;Kelsey;Flosi;;female;Flosi;04.02.1964;;Single;Bachelor;0;4;1
266;6480;09.02.2012;Individual;Haley;Morasca;;female;Morasca;12.03.1980;;Single;HighSchool;1;1;0
267;6273;21.02.2016;Individual;Mary;Flosi;;female;Flosi;27.11.1987;;Married;HighSchool;0;1;1
268;6274;27.05.2015;Individual;Samantha;Flosi;;female;Flosi;11.08.1983;;Married;ProfDgree;1;1;0
269;6481;11.06.2012;Individual;Kimberly;Morasca;;female;Morasca;04.12.1973;;Single;HighSchool;0;1;0
270;6275;14.08.2012;Individual;Victoria;Flosi;;female;Flosi;19.01.1984;;Married;Bachelor;0;2;1
271;6482;30.01.2016;Individual;Taylor;Morasca;;female;Morasca;29.02.1964;;Married;HighSchool;0;3;1
272;6276;03.04.2015;Individual;Alexis;Foller;;female;Foller;27.08.1984;;Single;AssocDgree;0;1;1
273;6277;09.11.2012;Individual;Allison;Foller;;female;Foller;02.03.1964;;Single;SmeCollege;1;1;1
274;6483;23.02.2015;Individual;Alexandra;Paprocki;;female;Paprocki;25.05.1968;;Married;HighSchool;1;1;1
275;6278;26.05.2015;Individual;Amanda;Foller;;female;Foller;29.04.1977;;Married;AssocDgree;1;4;0
276;6279;08.05.2013;Individual;Anna;Foller;;female;Foller;03.07.1967;;Married;Master;1;1;0
277;6484;08.10.2014;Individual;Megan;Smith;;female;Smith;15.12.1980;;Single;HighSchool;0;3;1
278;6280;12.10.2016;Individual;Danielle;Foller;;female;Foller;02.06.1975;;Single;HighSchool;1;3;0
279;6485;26.02.2016;Individual;Olivia;Smith;;female;Smith;13.04.1980;;Married;Master;0;3;0
280;6281;16.01.2016;Individual;Hannah;Foller;;female;Foller;06.05.1965;;Married;SmeCollege;1;3;0
281;6486;13.05.2017;Individual;Ashley;Taylor;;female;Taylor;15.02.1966;;Single;SmeCollege;0;3;0
282;6282;09.11.2013;Individual;Katherine;Rodriguez;;female;Rodriguez;06.02.1965;;Married;AssocDgree;1;3;0
283;6487;09.04.2012;Individual;Jessica;Taylor;;female;Taylor;07.01.1976;;Married;Master;0;2;0
284;6283;28.04.2012;Individual;Lauren;Rodriguez;;female;Rodriguez;16.11.1965;;Married;SmeCollege;0;4;1
285;6488;25.06.2016;Individual;Kayla;Taylor;;female;Taylor;07.06.1983;;Single;HighSchool;0;4;0
286;6284;28.11.2015;Individual;Madison;Rodriguez;;female;Rodriguez;22.11.1969;;Single;Bachelor;1;3;0
287;6489;16.03.2015;Individual;Amber;Williams;;female;Williams;20.12.1980;;Single;AssocDgree;1;4;0
288;6285;09.07.2014;Individual;Rachel;Rodriguez;;female;Rodriguez;06.01.1976;;Single;HighSchool;0;3;0
289;6490;25.04.2014;Individual;Brianna;Williams;;female;Williams;23.03.1963;;Single;HighSchool;0;4;1
290;6286;28.06.2016;Individual;Sarah;Rodriguez;;female;Rodriguez;20.07.1978;;Married;AssocDgree;1;1;0
291;6491;05.05.2016;Individual;Jasmine;Williams;;female;Williams;18.09.1973;;Married;SmeCollege;1;2;1
292;6287;25.10.2016;Individual;Shelby;Rodriguez;;female;Rodriguez;06.06.1989;;Married;HighSchool;0;3;1
293;6492;03.09.2016;Individual;Katherine;Williams;;female;Williams;26.05.1966;;Married;HighSchool;1;2;0
294;6288;26.03.2015;Individual;Ashley;Ruta;;female;Ruta;11.10.1986;;Married;Bachelor;1;1;1
295;6493;03.10.2016;Individual;Lauren;Williams;;female;Williams;13.04.1978;;Single;HighSchool;0;4;0
296;6289;18.09.2016;Individual;Jessica;Ruta;;female;Ruta;15.07.1979;;Married;HighSchool;0;2;1
297;6494;28.10.2015;Individual;Madison;Williams;;female;Williams;06.03.1966;;Single;HighSchool;0;1;1
298;6290;19.01.2013;Individual;Stephanie;Venere;;female;Venere;21.11.1971;;Single;AssocDgree;1;2;1
299;6495;05.02.2015;Individual;Rachel;Williams;;female;Williams;13.01.1967;;Married;HighSchool;1;1;0
300;6291;02.01.2015;Individual;Courtney;White;;female;White;25.12.1970;;Single;SmeCollege;1;2;1
301;6496;11.03.2015;Individual;Sarah;Williams;;female;Williams;08.02.1962;;Single;AssocDgree;1;2;0
302;6292;08.03.2013;Individual;Kelsey;White;;female;White;11.05.1974;;Single;9thGrade;0;1;0
303;6497;31.05.2013;Individual;Shelby;Williams;;female;Williams;23.08.1985;;Single;SmeCollege;1;1;0
304;6293;19.08.2013;Individual;Mary;White;;female;White;27.04.1982;;Married;HighSchool;0;3;0
305;6498;30.08.2016;Individual;Abigail;Wilson;;female;Wilson;23.05.1976;;Married;SmeCollege;1;2;0
306;6294;03.05.2014;Individual;Samantha;White;;female;White;06.04.1972;;Married;HighSchool;0;1;0
307;6499;01.03.2017;Individual;Hannah;Davis;;female;Davis;10.04.1977;;Single;AssocDgree;1;4;0
308;6295;09.04.2014;Individual;Rachel;Thompson;;female;Thompson;10.10.1959;;Married;AssocDgree;0;1;1
309;6500;11.06.2015;Individual;Melissa;Davis;;female;Davis;29.01.1972;;Married;9thGrade;1;3;1
310;6296;03.12.2015;Individual;Sarah;Thompson;;female;Thompson;28.10.1984;;Single;HighSchool;1;2;0
311;6501;19.01.2017;Individual;Alexandra;Dilliard;;female;Dilliard;14.03.1976;;Single;HighSchool;1;2;1
312;6297;20.10.2015;Individual;Shelby;Thompson;;female;Thompson;03.10.1986;;Married;Bachelor;1;3;0
313;6502;18.11.2012;Individual;Elizabeth;Dilliard;;female;Dilliard;30.10.1984;;Single;Bachelor;0;3;1
314;6298;10.03.2015;Individual;Amber;Tollner;;female;Tollner;11.05.1970;;Married;SmeCollege;0;1;1
315;6503;31.03.2014;Individual;Haley;Garufi;;female;Garufi;20.07.1984;;Single;9thGrade;1;3;0
316;6299;26.05.2016;Individual;Brianna;Tollner;;female;Tollner;05.08.1981;;Single;AssocDgree;1;3;1
317;6504;04.03.2012;Individual;Kimberly;Garufi;;female;Garufi;12.03.1982;;Married;AssocDgree;1;2;1
318;6300;13.07.2012;Individual;Jasmine;Tollner;;female;Tollner;04.03.1981;;Single;9thGrade;0;4;1
319;6505;18.09.2012;Individual;Abigail;Whobrey;;female;Whobrey;02.01.1969;;Single;SmeCollege;0;1;1
320;6301;08.11.2013;Individual;Katherine;Tollner;;female;Tollner;23.07.1968;;Married;HighSchool;1;2;0
321;6506;01.10.2016;Individual;Alyssa;Whobrey;;female;Whobrey;18.01.1988;;Single;HighSchool;1;3;1
322;6302;21.10.2013;Individual;Lauren;Tollner;;female;Tollner;06.01.1968;;Married;Bachelor;1;1;1
323;6507;09.12.2015;Individual;Brittany;Whobrey;;female;Whobrey;27.07.1982;;Single;Bachelor;1;2;0
324;6303;16.12.2012;Individual;Madison;Tollner;;female;Tollner;09.02.1963;;Married;HighSchool;0;1;0
325;6508;01.02.2017;Individual;Hannah;Brown;;female;Brown;19.06.1974;;Married;AssocDgree;1;1;1
326;6304;30.04.2013;Individual;Emily;Butt;;female;Butt;01.07.1981;;Married;HighSchool;0;3;1
327;6509;10.06.2017;Individual;Melissa;Brown;;female;Brown;30.05.1965;;Married;Bachelor;1;2;1
328;6305;11.06.2012;Individual;Morgan;Butt;;female;Butt;05.10.1976;;Single;Bachelor;1;2;1
329;6510;17.03.2013;Individual;Jennifer;Dilliard;;female;Dilliard;05.02.1963;;Married;Bachelor;1;4;0
330;6306;18.04.2015;Individual;Alexandra;Caldarera;;female;Caldarera;23.06.1979;;Married;HighSchool;1;3;0
331;6511;10.05.2015;Individual;Rebecca;Dilliard;;female;Dilliard;16.07.1968;;Married;Bachelor;0;4;1
332;6307;22.07.2015;Individual;Morgan;Hernandez;;female;Hernandez;18.08.1964;;Single;HighSchool;1;2;0
333;6512;06.06.2013;Individual;Stephanie;Dilliard;;female;Dilliard;17.06.1966;;Married;Bachelor;0;1;1
334;6308;21.11.2014;Individual;Ashley;Jackson;;female;Jackson;18.12.1981;;Single;HighSchool;0;1;1
335;6513;21.07.2015;Individual;Abigail;Flosi;;female;Flosi;03.03.1972;;Single;SmeCollege;0;3;0
336;6309;06.11.2016;Individual;Jessica;Jackson;;female;Jackson;04.12.1985;;Single;SmeCollege;1;1;0
337;6514;05.06.2015;Individual;Alyssa;Flosi;;female;Flosi;29.05.1971;;Married;9thGrade;1;2;0
338;6310;08.07.2013;Individual;Kayla;Jackson;;female;Jackson;17.04.1968;;Single;Bachelor;1;3;0
339;6515;19.02.2013;Individual;Brittany;Flosi;;female;Flosi;09.07.1967;;Single;HighSchool;0;3;1
340;6311;10.02.2013;Individual;Nicole;Jackson;;female;Jackson;14.12.1965;;Married;HighSchool;0;1;1
341;6516;21.06.2012;Individual;Jennifer;Flosi;;female;Flosi;25.03.1980;;Single;9thGrade;0;3;0
342;6312;20.06.2013;Individual;Alyssa;Martinez;;female;Martinez;01.07.1963;;Single;Bachelor;1;1;0
343;6517;01.12.2013;Individual;Taylor;Maclead;;female;Maclead;03.12.1977;;Single;SmeCollege;0;4;0
344;6313;01.11.2015;Individual;Brittany;Martinez;;female;Martinez;14.06.1979;;Single;ProfDgree;0;3;1
345;6518;08.07.2016;Individual;Emily;Marrier;;female;Marrier;19.02.1977;;Married;HighSchool;1;1;0
346;6314;05.12.2016;Individual;Jennifer;Martinez;;female;Martinez;08.03.1973;;Married;Master;1;3;0
347;6519;23.07.2014;Individual;Morgan;Marrier;;female;Marrier;05.02.1974;;Single;HighSchool;1;2;1
348;6315;28.05.2017;Individual;Rebecca;Martinez;;female;Martinez;27.10.1964;;Married;HighSchool;0;3;0
349;6520;14.12.2013;Individual;Jennifer;Paprocki;;female;Paprocki;13.05.1960;;Single;Bachelor;1;2;0
350;6521;21.09.2016;Individual;Rebecca;Paprocki;;female;Paprocki;16.08.1974;;Married;AssocDgree;0;3;1
351;6316;10.02.2016;Individual;Stephanie;Martinez;;female;Martinez;16.03.1966;;Single;AssocDgree;1;2;1
352;6522;27.04.2015;Individual;Stephanie;Paprocki;;female;Paprocki;10.01.1975;;Single;HighSchool;1;3;1
353;6317;15.02.2012;Individual;Kimberly;Rim;;female;Rim;10.02.1971;;Married;Bachelor;1;1;1
354;6318;19.09.2015;Individual;Taylor;Rim;;female;Rim;24.09.1977;;Married;Master;0;2;1
355;6523;19.03.2014;Individual;Nicole;Thompson;;female;Thompson;14.12.1968;;Married;HighSchool;0;3;0
356;6319;08.05.2014;Individual;Emily;Rodriguez;;female;Rodriguez;08.11.1981;;Single;SmeCollege;1;1;0
357;6524;22.12.2014;Individual;Ashley;Tollner;;female;Tollner;23.09.1975;;Married;SmeCollege;0;4;0
358;6320;02.02.2017;Individual;Rachel;Tollner;;female;Tollner;09.07.1972;;Single;HighSchool;0;2;0
359;6525;22.03.2012;Individual;Jessica;Tollner;;female;Tollner;29.12.1975;;Married;HighSchool;0;3;1
360;6321;22.09.2013;Individual;Sarah;Tollner;;female;Tollner;02.06.1982;;Married;Master;1;3;0
361;6526;03.12.2016;Individual;Kayla;Tollner;;female;Tollner;28.06.1982;;Married;HighSchool;0;1;0
362;6322;05.10.2012;Individual;Ashley;Venere;;female;Venere;15.04.1979;;Married;AssocDgree;0;2;1
363;6527;03.12.2016;Individual;Nicole;Tollner;;female;Tollner;04.09.1962;;Single;HighSchool;1;4;0
364;6323;01.05.2012;Individual;Jessica;Venere;;female;Venere;05.03.1968;;Single;Bachelor;0;3;0
365;6528;17.09.2016;Individual;Haley;Butt;;female;Butt;26.04.1969;;Married;HighSchool;1;4;0
366;6324;30.12.2016;Individual;Kayla;Venere;;female;Venere;03.07.1971;;Married;SmeCollege;1;2;0
367;6529;23.12.2014;Individual;Kimberly;Butt;;female;Butt;29.01.1974;;Married;SmeCollege;1;2;0
368;6325;29.01.2014;Individual;Nicole;Venere;;female;Venere;04.07.1964;;Married;SmeCollege;1;3;1
369;6530;05.07.2016;Individual;Taylor;Butt;;female;Butt;16.11.1976;;Single;Bachelor;1;4;1
370;6326;13.05.2013;Individual;Elizabeth;Caldarera;;female;Caldarera;28.09.1963;;Single;SmeCollege;1;2;1
371;6531;14.04.2015;Individual;Amber;Caldarera;;female;Caldarera;15.12.1962;;Single;HighSchool;0;2;0
372;6327;18.01.2016;Individual;Megan;Caldarera;;female;Caldarera;31.05.1961;;Married;HighSchool;1;1;1
373;6532;10.01.2017;Individual;Brianna;Caldarera;;female;Caldarera;13.07.1980;;Married;HighSchool;0;1;0
374;6328;19.06.2012;Individual;Olivia;Caldarera;;female;Caldarera;03.08.1965;;Married;Master;1;2;0
375;6533;07.03.2015;Individual;Taylor;Hernandez;;female;Hernandez;12.05.1974;;Married;HighSchool;0;4;0
376;6329;19.01.2013;Individual;Abigail;Darakjy;;female;Darakjy;23.11.1960;;Married;Bachelor;0;2;0
377;6534;29.08.2016;Individual;Courtney;Jackson;;female;Jackson;04.12.1978;;Married;9thGrade;0;2;0
378;6330;26.02.2016;Individual;Alyssa;Darakjy;;female;Darakjy;11.05.1977;;Married;HighSchool;0;2;1
379;6535;15.10.2013;Individual;Kelsey;Jackson;;female;Jackson;07.11.1964;;Married;Bachelor;1;1;0
380;6331;06.01.2017;Individual;Brittany;Darakjy;;female;Darakjy;30.10.1974;;Single;HighSchool;0;4;0
381;6536;27.10.2015;Individual;Mary;Jackson;;female;Jackson;30.10.1978;;Single;Bachelor;1;3;0
382;6332;27.03.2015;Individual;Melissa;Flosi;;female;Flosi;14.05.1979;;Single;HighSchool;1;3;1
383;6537;23.01.2014;Individual;Elizabeth;Martinez;;female;Martinez;31.01.1967;;Married;AssocDgree;1;1;0
384;6333;04.12.2016;Individual;Amber;Foller;;female;Foller;20.06.1978;;Married;Bachelor;0;1;1
385;6538;07.01.2013;Individual;Megan;Martinez;;female;Martinez;27.01.1972;;Married;SmeCollege;1;3;0
386;6334;03.09.2015;Individual;Brianna;Foller;;female;Foller;31.01.1983;;Married;AssocDgree;0;2;0
387;6539;21.07.2015;Individual;Olivia;Martinez;;female;Martinez;23.08.1970;;Single;AssocDgree;1;1;0
388;6335;09.09.2016;Individual;Jasmine;Foller;;female;Foller;12.07.1979;;Single;Bachelor;0;1;0
389;6540;06.01.2012;Individual;Hannah;Rim;;female;Rim;09.11.1961;;Married;SmeCollege;0;2;1
390;6336;04.12.2013;Individual;Katherine;Foller;;female;Foller;27.01.1982;;Married;HighSchool;0;4;1
391;6541;25.05.2013;Individual;Melissa;Rim;;female;Rim;18.07.1964;;Married;HighSchool;1;3;0
392;6337;20.01.2012;Individual;Alexandra;Whobrey;;female;Whobrey;22.04.1983;;Single;HighSchool;1;4;0
393;6542;13.07.2016;Individual;Haley;Rodriguez;;female;Rodriguez;10.11.1985;;Married;HighSchool;0;4;0
394;6338;19.05.2015;Individual;Elizabeth;Whobrey;;female;Whobrey;29.03.1968;;Married;SmeCollege;0;3;1
395;6543;16.12.2012;Individual;Courtney;Venere;;female;Venere;22.01.1961;;Single;SmeCollege;1;4;1
396;6339;17.06.2013;Individual;Megan;Whobrey;;female;Whobrey;04.10.1973;;Married;SmeCollege;0;4;0
397;6544;09.12.2014;Individual;Kelsey;Venere;;female;Venere;12.03.1977;;Single;HighSchool;0;1;1
398;6340;27.01.2013;Individual;Olivia;Whobrey;;female;Whobrey;16.02.1964;;Single;HighSchool;0;2;1
399;6545;13.10.2013;Individual;Mary;Venere;;female;Venere;23.05.1968;;Single;HighSchool;1;4;0
400;6341;01.03.2017;Individual;Emily;Albares;;female;Albares;07.12.1969;;Single;HighSchool;0;1;0
401;6546;14.08.2013;Individual;Jasmine;Caldarera;;female;Caldarera;02.04.1969;;Married;Bachelor;0;2;1
402;6342;21.09.2016;Individual;Morgan;Albares;;female;Albares;19.10.1975;;Single;HighSchool;1;1;0
403;6547;25.05.2014;Individual;Katherine;Caldarera;;female;Caldarera;15.03.1977;;Single;Master;0;1;1
404;6343;09.04.2012;Individual;Taylor;Johnson;;female;Johnson;10.01.1983;;Married;Bachelor;1;2;1
405;6548;06.11.2012;Individual;Lauren;Caldarera;;female;Caldarera;11.06.1961;;Married;9thGrade;0;1;1
406;6344;09.07.2012;Individual;Haley;Jones;;female;Jones;08.08.1973;;Married;HighSchool;0;4;1
407;6549;22.04.2015;Individual;Madison;Caldarera;;female;Caldarera;10.09.1960;;Single;SmeCollege;1;2;1
408;6345;21.01.2012;Individual;Kimberly;Jones;;female;Jones;22.04.1983;;Single;HighSchool;0;2;1
409;6550;20.12.2012;Individual;Elizabeth;Maclead;;female;Maclead;01.07.1983;;Married;Bachelor;0;4;1
410;6346;22.11.2013;Individual;Elizabeth;Moore;;female;Moore;09.02.1965;;Single;Bachelor;0;3;0
411;6551;23.03.2012;Individual;Megan;Maclead;;female;Maclead;23.06.1969;;Married;Bachelor;0;2;0
412;6347;24.03.2017;Individual;Megan;Moore;;female;Moore;21.04.1967;;Single;Bachelor;0;4;0
413;6552;22.02.2017;Individual;Olivia;Maclead;;female;Maclead;07.04.1972;;Single;SmeCollege;1;1;1
414;6348;16.01.2013;Individual;Olivia;Moore;;female;Moore;01.08.1973;;Married;Bachelor;0;1;1
415;6553;26.10.2013;Individual;Brittany;Morasca;;female;Morasca;27.03.1983;;Married;SmeCollege;1;2;0
416;6349;22.11.2012;Individual;Lauren;Taylor;;female;Taylor;26.05.1975;;Single;Bachelor;1;4;1
417;6554;13.06.2016;Individual;Jennifer;Morasca;;female;Morasca;30.01.1985;;Single;HighSchool;0;3;0
418;6350;21.03.2013;Individual;Madison;Taylor;;female;Taylor;26.03.1979;;Married;SmeCollege;1;2;1
419;6555;19.08.2016;Individual;Rebecca;Morasca;;female;Morasca;21.11.1987;;Single;AssocDgree;1;4;1
420;6351;14.10.2015;Individual;Rachel;Taylor;;female;Taylor;02.01.1987;;Single;Bachelor;1;1;0
421;6556;07.05.2014;Individual;Stephanie;Morasca;;female;Morasca;08.05.1977;;Single;SmeCollege;1;1;0
422;6352;24.07.2013;Individual;Sarah;Taylor;;female;Taylor;18.11.1985;;Married;9thGrade;0;2;0
423;6557;08.04.2015;Individual;Ashley;Paprocki;;female;Paprocki;12.04.1973;;Married;AssocDgree;1;4;0
424;6353;10.11.2013;Individual;Shelby;Taylor;;female;Taylor;03.03.1972;;Married;Bachelor;0;2;0
425;6558;07.08.2014;Individual;Nicole;Smith;;female;Smith;23.08.1962;;Married;AssocDgree;1;2;0
426;6354;12.03.2017;Individual;Alexis;Thomas;;female;Thomas;29.07.1966;;Married;ProfDgree;0;2;1
427;6559;14.01.2012;Individual;Emily;Taylor;;female;Taylor;05.02.1967;;Single;HighSchool;0;1;1
428;6355;24.05.2016;Individual;Allison;Thomas;;female;Thomas;02.01.1964;;Single;Bachelor;1;1;1
429;6560;05.10.2013;Individual;Courtney;Williams;;female;Williams;05.12.1961;;Married;HighSchool;0;2;0
430;6356;15.05.2012;Individual;Amanda;Thomas;;female;Thomas;26.12.1983;;Single;9thGrade;0;4;0
431;6561;19.01.2015;Individual;Kelsey;Williams;;female;Williams;08.07.1963;;Single;Bachelor;1;4;1
432;6562;10.09.2014;Individual;Mary;Williams;;female;Williams;10.07.1973;;Married;Bachelor;0;3;1
433;6563;25.04.2015;Individual;Samantha;Williams;;female;Williams;15.11.1972;;Married;9thGrade;0;2;0
434;6564;29.05.2012;Individual;Victoria;Williams;;female;Williams;11.09.1984;;Married;SmeCollege;1;4;1
435;6565;10.02.2015;Individual;Megan;Davis;;female;Davis;24.05.1978;;Married;AssocDgree;0;3;0
436;6566;10.11.2012;Individual;Olivia;Davis;;female;Davis;08.04.1961;;Single;HighSchool;0;2;1
437;6567;25.09.2012;Individual;Ashley;Dilliard;;female;Dilliard;31.12.1982;;Married;HighSchool;0;1;1
438;6568;28.01.2015;Individual;Megan;Garcia;;female;Garcia;22.03.1974;;Single;Bachelor;1;1;1
439;6569;01.02.2012;Individual;Olivia;Garcia;;female;Garcia;02.12.1971;;Married;SmeCollege;0;3;0
440;6570;10.09.2014;Individual;Abigail;Garufi;;female;Garufi;27.10.1970;;Married;AssocDgree;1;4;0
441;6571;01.11.2012;Individual;Alyssa;Garufi;;female;Garufi;21.07.1984;;Single;SmeCollege;0;2;1
442;6572;09.10.2016;Individual;Brittany;Garufi;;female;Garufi;01.08.1964;;Single;Bachelor;0;2;1
443;6573;08.11.2013;Individual;Jennifer;Garufi;;female;Garufi;28.04.1973;;Single;HighSchool;1;1;0
444;6574;05.01.2017;Individual;Amber;Whobrey;;female;Whobrey;13.05.1971;;Single;Bachelor;0;3;1
445;6575;15.01.2015;Individual;Jasmine;Whobrey;;female;Whobrey;16.12.1967;;Married;Bachelor;1;4;0
446;6576;03.03.2016;Individual;Katherine;Whobrey;;female;Whobrey;17.10.1979;;Married;HighSchool;1;2;0
447;6577;22.05.2016;Individual;Lauren;Whobrey;;female;Whobrey;29.07.1968;;Single;HighSchool;1;4;0
448;6578;20.12.2015;Individual;Madison;Whobrey;;female;Whobrey;15.10.1983;;Single;Master;0;1;1
449;6579;04.12.2015;Individual;Rachel;Whobrey;;female;Whobrey;19.05.1972;;Married;HighSchool;1;1;0
450;6580;26.04.2013;Individual;Sarah;Whobrey;;female;Whobrey;25.09.1964;;Single;Bachelor;1;1;1
451;6581;23.05.2017;Individual;Shelby;Whobrey;;female;Whobrey;01.05.1981;;Married;HighSchool;0;3;0
452;5679;20.09.2013;Individual;Jasmine;Martin;;female;Martin;26.02.1974;;Single;AssocDgree;0;1;0
453;5905;04.04.2014;Individual;Emily;Garufi;;female;Garufi;01.07.1965;;Married;SmeCollege;1;3;0
454;5680;16.04.2017;Individual;Katherine;Martin;;female;Martin;13.02.1981;;Married;HighSchool;0;2;1
455;5906;12.05.2016;Individual;Stephanie;White;;female;White;02.08.1987;;Single;SmeCollege;0;4;0
456;5681;18.12.2012;Individual;Lauren;Martin;;female;Martin;06.06.1979;;Single;Master;0;4;0
457;5907;14.06.2015;Individual;Alexis;Whobrey;;female;Whobrey;04.08.1971;;Single;HighSchool;1;3;1
458;5682;30.03.2012;Individual;Madison;Martin;;female;Martin;03.06.1984;;Single;Bachelor;1;3;0
459;5908;06.10.2012;Individual;Allison;Whobrey;;female;Whobrey;04.05.1967;;Single;HighSchool;1;2;1
460;5683;07.08.2012;Individual;Rachel;Martin;;female;Martin;17.10.1978;;Single;Bachelor;0;3;1
461;5909;09.11.2014;Individual;Amanda;Whobrey;;female;Whobrey;22.04.1987;;Married;SmeCollege;0;3;1
462;5684;20.10.2013;Individual;Sarah;Martin;;female;Martin;06.03.1985;;Single;Master;0;2;1
463;5910;12.05.2017;Individual;Anna;Whobrey;;female;Whobrey;26.01.1980;;Single;HighSchool;0;4;0
464;5685;03.03.2015;Individual;Shelby;Martin;;female;Martin;16.09.1978;;Single;HighSchool;1;4;0
465;5911;12.02.2014;Individual;Danielle;Whobrey;;female;Whobrey;25.04.1975;;Married;HighSchool;1;1;0
466;5686;26.06.2014;Individual;Alexandra;Martinez;;female;Martinez;29.10.1984;;Single;AssocDgree;1;2;0
467;5912;16.05.2015;Individual;Hannah;Whobrey;;female;Whobrey;03.01.1982;;Single;AssocDgree;1;4;1
468;5687;11.09.2016;Individual;Haley;Poquette;;female;Poquette;16.01.1981;;Married;SmeCollege;1;4;1
469;5913;11.08.2012;Individual;Melissa;Whobrey;;female;Whobrey;15.04.1965;;Married;Master;1;3;1
470;5688;19.06.2014;Individual;Kimberly;Poquette;;female;Poquette;01.10.1972;;Married;Bachelor;1;3;0
471;5914;21.03.2015;Individual;Abigail;Albares;;female;Albares;25.03.1961;;Married;HighSchool;1;1;0
472;5689;06.07.2016;Individual;Taylor;Poquette;;female;Poquette;29.04.1974;;Single;SmeCollege;1;2;0
473;5915;18.04.2015;Individual;Alyssa;Albares;;female;Albares;16.09.1960;;Single;SmeCollege;0;2;1
474;5690;13.07.2015;Individual;Alexis;Rim;;female;Rim;04.08.1965;;Single;AssocDgree;1;3;0
475;5916;16.04.2012;Individual;Brittany;Albares;;female;Albares;18.05.1977;;Single;Bachelor;0;2;1
476;5691;30.06.2016;Individual;Allison;Rim;;female;Rim;27.08.1979;;Married;HighSchool;0;3;1
477;5917;12.05.2017;Individual;Jennifer;Albares;;female;Albares;04.05.1967;;Single;AssocDgree;1;2;1
478;5692;03.08.2014;Individual;Amanda;Rim;;female;Rim;23.03.1960;;Married;AssocDgree;1;2;0
479;5918;26.05.2015;Individual;Rebecca;Albares;;female;Albares;09.03.1977;;Married;AssocDgree;1;4;1
480;5693;24.03.2012;Individual;Anna;Rim;;female;Rim;27.05.1983;;Single;Master;0;1;0
481;5919;24.10.2013;Individual;Stephanie;Albares;;female;Albares;16.01.1976;;Single;Bachelor;0;1;0
482;5694;18.06.2015;Individual;Danielle;Rim;;female;Rim;28.12.1980;;Married;SmeCollege;0;4;0
