;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;ISSUENUMBER;NUMBERONCARD;VALIDFROMONCARD;VALIDTOONCARD;LIFECYCLESTATUS2;ISSUEREASON;CARDDELIVERYDATE;PINDELIVERYDATE;SHIPPINGMETHOD
407;100001312;CARDSYSTEM;100001312;1;780159345;25.06.2013;24.06.2017;active;FirstIssue;01.07.2013;05.07.2013;StandardMail
408;100001313;CARDSYSTEM;100001313;1;976177633;06.11.2015;05.11.2019;active;FirstIssue;09.11.2015;14.11.2015;StandardMail
409;100001314;CARDSYSTEM;100001314;1;28205997;11.12.2016;10.12.2020;active;FirstIssue;14.12.2016;20.12.2016;StandardMail
410;100001315;CARDSYSTEM;100001315;1;540112093;06.06.2017;05.06.2021;active;FirstIssue;09.06.2017;17.06.2017;StandardMail
411;100001316;CARDSYSTEM;100001316;1;678632658;19.02.2016;18.02.2020;active;FirstIssue;23.02.2016;29.02.2016;StandardMail
412;100001317;CARDSYSTEM;100001317;1;142740778;23.02.2012;22.02.2016;active;FirstIssue;28.02.2012;02.03.2012;StandardMail
413;100001318;CARDSYSTEM;100001318;1;239258005;25.09.2015;24.09.2019;active;FirstIssue;30.09.2015;04.10.2015;StandardMail
414;100001319;CARDSYSTEM;100001319;1;133032925;17.05.2014;16.05.2018;active;FirstIssue;21.05.2014;26.05.2014;StandardMail
415;100001320;CARDSYSTEM;100001320;1;829698557;08.02.2017;07.02.2021;active;FirstIssue;11.02.2017;19.02.2017;StandardMail
416;100001321;CARDSYSTEM;100001321;1;317113689;28.09.2013;27.09.2017;active;FirstIssue;02.10.2013;07.10.2013;StandardMail
417;100001322;CARDSYSTEM;100001322;1;917661967;12.10.2012;11.10.2016;active;FirstIssue;16.10.2012;22.10.2012;StandardMail
418;100001323;CARDSYSTEM;100001323;1;266738506;09.05.2012;08.05.2016;active;FirstIssue;13.05.2012;18.05.2012;StandardMail
419;100001324;CARDSYSTEM;100001324;1;60790335;08.01.2017;07.01.2021;active;FirstIssue;12.01.2017;19.01.2017;StandardMail
420;100001325;CARDSYSTEM;100001325;1;516778185;06.02.2014;05.02.2018;active;FirstIssue;11.02.2014;15.02.2014;StandardMail
421;100001326;CARDSYSTEM;100001326;1;565192988;19.05.2013;18.05.2017;active;FirstIssue;24.05.2013;28.05.2013;StandardMail
422;100001327;CARDSYSTEM;100001327;1;559639437;23.01.2016;22.01.2020;active;FirstIssue;29.01.2016;02.02.2016;StandardMail
423;100001328;CARDSYSTEM;100001328;1;780371444;24.06.2012;23.06.2016;active;FirstIssue;29.06.2012;03.07.2012;StandardMail
424;100001329;CARDSYSTEM;100001329;1;265566692;28.01.2013;27.01.2017;active;FirstIssue;02.02.2013;05.02.2013;StandardMail
425;100001330;CARDSYSTEM;100001330;1;878378655;06.03.2016;05.03.2020;active;FirstIssue;09.03.2016;14.03.2016;StandardMail
426;100001331;CARDSYSTEM;100001331;1;321258432;12.01.2017;11.01.2021;active;FirstIssue;17.01.2017;23.01.2017;StandardMail
427;100001332;CARDSYSTEM;100001332;1;288263043;05.04.2015;04.04.2019;active;FirstIssue;10.04.2015;15.04.2015;StandardMail
428;100001333;CARDSYSTEM;100001333;1;514417330;11.12.2016;10.12.2020;active;FirstIssue;14.12.2016;22.12.2016;StandardMail
429;100001334;CARDSYSTEM;100001334;1;545449259;12.09.2015;11.09.2019;active;FirstIssue;18.09.2015;22.09.2015;StandardMail
430;100001335;CARDSYSTEM;100001335;1;137271568;18.09.2016;17.09.2020;active;FirstIssue;24.09.2016;27.09.2016;StandardMail
431;100001336;CARDSYSTEM;100001336;1;187745136;11.12.2013;10.12.2017;active;FirstIssue;17.12.2013;19.12.2013;StandardMail
432;100001337;CARDSYSTEM;100001337;1;522657578;29.01.2012;28.01.2016;active;FirstIssue;02.02.2012;07.02.2012;StandardMail
433;100001338;CARDSYSTEM;100001338;1;389438031;28.05.2015;27.05.2019;active;FirstIssue;01.06.2015;08.06.2015;StandardMail
434;100001339;CARDSYSTEM;100001339;1;676560141;23.06.2013;22.06.2017;active;FirstIssue;28.06.2013;03.07.2013;StandardMail
435;100001340;CARDSYSTEM;100001340;1;388210363;04.02.2013;03.02.2017;active;FirstIssue;09.02.2013;14.02.2013;StandardMail
436;100001341;CARDSYSTEM;100001341;1;211553864;10.03.2017;09.03.2021;active;FirstIssue;16.03.2017;21.03.2017;StandardMail
437;100001342;CARDSYSTEM;100001342;1;355991336;28.09.2016;27.09.2020;active;FirstIssue;02.10.2016;08.10.2016;StandardMail
438;100001343;CARDSYSTEM;100001343;1;218816834;16.04.2012;15.04.2016;active;FirstIssue;20.04.2012;26.04.2012;StandardMail
439;100001344;CARDSYSTEM;100001344;1;194936754;15.07.2012;14.07.2016;active;FirstIssue;19.07.2012;25.07.2012;StandardMail
440;100001345;CARDSYSTEM;100001345;1;488655573;29.01.2012;28.01.2016;active;FirstIssue;04.02.2012;07.02.2012;StandardMail
441;100001346;CARDSYSTEM;100001346;1;840977411;01.12.2013;30.11.2017;active;FirstIssue;06.12.2013;12.12.2013;StandardMail
442;100001347;CARDSYSTEM;100001347;1;395867403;31.03.2017;30.03.2021;active;FirstIssue;03.04.2017;09.04.2017;StandardMail
443;100001348;CARDSYSTEM;100001348;1;1004550798;24.01.2013;23.01.2017;active;FirstIssue;27.01.2013;03.02.2013;StandardMail
444;100001349;CARDSYSTEM;100001349;1;38535594;29.11.2012;28.11.2016;active;FirstIssue;04.12.2012;10.12.2012;StandardMail
445;100001350;CARDSYSTEM;100001350;1;866219695;29.03.2013;28.03.2017;active;FirstIssue;04.04.2013;09.04.2013;StandardMail
446;100001351;CARDSYSTEM;100001351;1;656467327;23.10.2015;22.10.2019;active;FirstIssue;29.10.2015;01.11.2015;StandardMail
447;100001352;CARDSYSTEM;100001352;1;87123586;31.07.2013;30.07.2017;active;FirstIssue;04.08.2013;09.08.2013;StandardMail
448;100001353;CARDSYSTEM;100001353;1;80422828;17.11.2013;16.11.2017;active;FirstIssue;21.11.2013;26.11.2013;StandardMail
449;100001354;CARDSYSTEM;100001354;1;596504030;19.03.2017;18.03.2021;active;FirstIssue;23.03.2017;30.03.2017;StandardMail
450;100001355;CARDSYSTEM;100001355;1;945794346;30.05.2016;29.05.2020;active;FirstIssue;02.06.2016;10.06.2016;StandardMail
451;100001356;CARDSYSTEM;100001356;1;958814829;21.05.2012;20.05.2016;active;FirstIssue;25.05.2012;29.05.2012;StandardMail
452;100000905;CARDSYSTEM;100000905;1;337349918;10.04.2014;09.04.2018;active;FirstIssue;13.04.2014;21.04.2014;StandardMail
453;100000906;CARDSYSTEM;100000906;1;205023997;17.05.2016;16.05.2020;active;FirstIssue;23.05.2016;25.05.2016;StandardMail
454;100000907;CARDSYSTEM;100000907;1;264168157;23.06.2015;22.06.2019;active;FirstIssue;29.06.2015;01.07.2015;StandardMail
455;100000908;CARDSYSTEM;100000908;1;737484251;11.10.2012;10.10.2016;active;FirstIssue;17.10.2012;19.10.2012;StandardMail
456;100000909;CARDSYSTEM;100000909;1;558277712;15.11.2014;14.11.2018;active;FirstIssue;18.11.2014;24.11.2014;StandardMail
457;100000910;CARDSYSTEM;100000910;1;15654932;21.05.2017;20.05.2021;active;FirstIssue;26.05.2017;30.05.2017;StandardMail
458;100000911;CARDSYSTEM;100000911;1;87506631;18.02.2014;17.02.2018;active;FirstIssue;22.02.2014;28.02.2014;StandardMail
459;100000912;CARDSYSTEM;100000912;1;338853966;24.05.2015;23.05.2019;active;FirstIssue;28.05.2015;04.06.2015;StandardMail
460;100000913;CARDSYSTEM;100000913;1;839507263;17.08.2012;16.08.2016;active;FirstIssue;23.08.2012;27.08.2012;StandardMail
461;100000914;CARDSYSTEM;100000914;1;987983743;27.03.2015;26.03.2019;active;FirstIssue;01.04.2015;07.04.2015;StandardMail
462;100000915;CARDSYSTEM;100000915;1;429863401;24.04.2015;23.04.2019;active;FirstIssue;28.04.2015;04.05.2015;StandardMail
463;100000916;CARDSYSTEM;100000916;1;383800399;21.04.2012;20.04.2016;active;FirstIssue;24.04.2012;29.04.2012;StandardMail
464;100000917;CARDSYSTEM;100000917;1;893336938;21.05.2017;20.05.2021;active;FirstIssue;25.05.2017;30.05.2017;StandardMail
465;100000918;CARDSYSTEM;100000918;1;856835843;31.05.2015;30.05.2019;active;FirstIssue;05.06.2015;09.06.2015;StandardMail
466;100000919;CARDSYSTEM;100000919;1;537130800;29.10.2013;28.10.2017;active;FirstIssue;03.11.2013;06.11.2013;StandardMail
467;100000920;CARDSYSTEM;100000920;1;140147019;22.10.2015;21.10.2019;active;FirstIssue;28.10.2015;31.10.2015;StandardMail
468;100000921;CARDSYSTEM;100000921;1;352195513;27.07.2014;26.07.2018;active;FirstIssue;30.07.2014;05.08.2014;StandardMail
469;100000922;CARDSYSTEM;100000922;1;792000153;09.11.2016;08.11.2020;active;FirstIssue;13.11.2016;20.11.2016;StandardMail
470;100000923;CARDSYSTEM;100000923;1;475272005;02.06.2015;01.06.2019;active;FirstIssue;07.06.2015;13.06.2015;StandardMail
471;100000924;CARDSYSTEM;100000924;1;103196429;05.05.2017;04.05.2021;active;FirstIssue;09.05.2017;16.05.2017;StandardMail
472;100000925;CARDSYSTEM;100000925;1;369018655;16.11.2013;15.11.2017;active;FirstIssue;20.11.2013;26.11.2013;StandardMail
473;100000926;CARDSYSTEM;100000926;1;628949448;16.01.2016;15.01.2020;active;FirstIssue;22.01.2016;24.01.2016;StandardMail
474;100000927;CARDSYSTEM;100000927;1;902307434;28.04.2014;27.04.2018;active;FirstIssue;02.05.2014;09.05.2014;StandardMail
475;100000928;CARDSYSTEM;100000928;1;337708730;04.02.2017;03.02.2021;active;FirstIssue;08.02.2017;13.02.2017;StandardMail
476;100000929;CARDSYSTEM;100000929;1;191831105;14.06.2016;13.06.2020;active;FirstIssue;20.06.2016;22.06.2016;StandardMail
477;100000930;CARDSYSTEM;100000930;1;453049714;04.01.2016;03.01.2020;active;FirstIssue;08.01.2016;12.01.2016;StandardMail
478;100000931;CARDSYSTEM;100000931;1;65251444;04.03.2015;03.03.2019;active;FirstIssue;08.03.2015;14.03.2015;StandardMail
479;100000932;CARDSYSTEM;100000932;1;421649170;06.08.2012;05.08.2016;active;FirstIssue;12.08.2012;15.08.2012;StandardMail
480;100000933;CARDSYSTEM;100000933;1;205227989;18.02.2017;17.02.2021;active;FirstIssue;21.02.2017;01.03.2017;StandardMail
481;100000934;CARDSYSTEM;100000934;1;21624927;17.09.2013;16.09.2017;active;FirstIssue;22.09.2013;25.09.2013;StandardMail
482;100000935;CARDSYSTEM;100000935;1;511737279;29.12.2013;28.12.2017;active;FirstIssue;02.01.2014;09.01.2014;StandardMail
483;100000936;CARDSYSTEM;100000936;1;476091073;12.12.2012;11.12.2016;active;FirstIssue;16.12.2012;21.12.2012;StandardMail
484;100000937;CARDSYSTEM;100000937;1;937757233;20.02.2017;19.02.2021;active;FirstIssue;25.02.2017;01.03.2017;StandardMail
485;100000938;CARDSYSTEM;100000938;1;531211973;31.10.2013;30.10.2017;active;FirstIssue;04.11.2013;08.11.2013;StandardMail
486;100000939;CARDSYSTEM;100000939;1;20241811;28.08.2015;27.08.2019;active;FirstIssue;03.09.2015;05.09.2015;StandardMail
487;100000940;CARDSYSTEM;100000940;1;793964564;11.03.2016;10.03.2020;active;FirstIssue;17.03.2016;20.03.2016;StandardMail
488;100000941;CARDSYSTEM;100000941;1;543034188;10.03.2014;09.03.2018;active;FirstIssue;15.03.2014;20.03.2014;StandardMail
489;100000942;CARDSYSTEM;100000942;1;230483503;16.06.2016;15.06.2020;active;FirstIssue;22.06.2016;25.06.2016;StandardMail
490;100000943;CARDSYSTEM;100000943;1;253299777;23.12.2016;22.12.2020;active;FirstIssue;28.12.2016;02.01.2017;StandardMail
491;100000944;CARDSYSTEM;100000944;1;559347472;31.07.2015;30.07.2019;active;FirstIssue;03.08.2015;08.08.2015;StandardMail
492;100000945;CARDSYSTEM;100000945;1;245786512;20.12.2013;19.12.2017;active;FirstIssue;25.12.2013;29.12.2013;StandardMail
493;100000946;CARDSYSTEM;100000946;1;373475716;24.12.2016;23.12.2020;active;FirstIssue;29.12.2016;04.01.2017;StandardMail
494;100000947;CARDSYSTEM;100000947;1;624923287;11.07.2013;10.07.2017;active;FirstIssue;14.07.2013;19.07.2013;StandardMail
495;100000948;CARDSYSTEM;100000948;1;164144349;24.03.2012;23.03.2016;active;FirstIssue;27.03.2012;01.04.2012;StandardMail
496;100000949;CARDSYSTEM;100000949;1;256255398;31.12.2016;30.12.2020;active;FirstIssue;03.01.2017;08.01.2017;StandardMail
497;100000950;CARDSYSTEM;100000950;1;19948929;19.12.2015;18.12.2019;active;FirstIssue;25.12.2015;28.12.2015;StandardMail
498;100000951;CARDSYSTEM;100000951;1;888568950;14.06.2012;13.06.2016;active;FirstIssue;20.06.2012;23.06.2012;StandardMail
499;100000952;CARDSYSTEM;100000952;1;613350710;26.04.2013;25.04.2017;active;FirstIssue;29.04.2013;07.05.2013;StandardMail
500;100000953;CARDSYSTEM;100000953;1;659296032;14.11.2014;13.11.2018;active;FirstIssue;19.11.2014;23.11.2014;StandardMail
501;100000954;CARDSYSTEM;100000954;1;177032970;14.06.2012;13.06.2016;active;FirstIssue;20.06.2012;24.06.2012;StandardMail
502;100000955;CARDSYSTEM;100000955;1;944681819;29.04.2016;28.04.2020;active;FirstIssue;03.05.2016;09.05.2016;StandardMail
503;100000956;CARDSYSTEM;100000956;1;529169293;13.01.2017;12.01.2021;active;FirstIssue;18.01.2017;23.01.2017;StandardMail
504;100000957;CARDSYSTEM;100000957;1;762553711;21.04.2014;20.04.2018;active;FirstIssue;27.04.2014;01.05.2014;StandardMail
505;100000958;CARDSYSTEM;100000958;1;785560620;30.05.2017;29.05.2021;active;FirstIssue;05.06.2017;09.06.2017;StandardMail
506;100000959;CARDSYSTEM;100000959;1;365371875;07.09.2012;06.09.2016;active;FirstIssue;11.09.2012;18.09.2012;StandardMail
507;100000960;CARDSYSTEM;100000960;1;247131412;19.04.2012;18.04.2016;active;FirstIssue;22.04.2012;29.04.2012;StandardMail
508;100000961;CARDSYSTEM;100000961;1;423738961;05.04.2012;04.04.2016;active;FirstIssue;08.04.2012;14.04.2012;StandardMail
509;100000962;CARDSYSTEM;100000962;1;50617001;15.10.2014;14.10.2018;active;FirstIssue;21.10.2014;23.10.2014;StandardMail
510;100000963;CARDSYSTEM;100000963;1;137195315;23.02.2016;22.02.2020;active;FirstIssue;28.02.2016;04.03.2016;StandardMail
511;100000964;CARDSYSTEM;100000964;1;502285554;14.06.2014;13.06.2018;active;FirstIssue;19.06.2014;23.06.2014;StandardMail
512;100000965;CARDSYSTEM;100000965;1;837948683;20.06.2013;19.06.2017;active;FirstIssue;23.06.2013;29.06.2013;StandardMail
513;100000966;CARDSYSTEM;100000966;1;615315007;29.09.2016;28.09.2020;active;FirstIssue;02.10.2016;10.10.2016;StandardMail
514;100000967;CARDSYSTEM;100000967;1;127910518;04.05.2012;03.05.2016;active;FirstIssue;07.05.2012;14.05.2012;StandardMail
515;100000968;CARDSYSTEM;100000968;1;216171562;28.02.2013;27.02.2017;active;FirstIssue;05.03.2013;10.03.2013;StandardMail
516;100000969;CARDSYSTEM;100000969;1;299207785;08.04.2015;07.04.2019;active;FirstIssue;14.04.2015;17.04.2015;StandardMail
517;100000970;CARDSYSTEM;100000970;1;77800132;14.04.2013;13.04.2017;active;FirstIssue;18.04.2013;24.04.2013;StandardMail
518;100000971;CARDSYSTEM;100000971;1;763527274;07.12.2012;06.12.2016;active;FirstIssue;12.12.2012;18.12.2012;StandardMail
519;100000972;CARDSYSTEM;100000972;1;872400058;22.01.2017;21.01.2021;active;FirstIssue;27.01.2017;02.02.2017;StandardMail
520;100000973;CARDSYSTEM;100000973;1;428403050;27.09.2012;26.09.2016;active;FirstIssue;03.10.2012;05.10.2012;StandardMail
521;100000974;CARDSYSTEM;100000974;1;353447802;30.03.2016;29.03.2020;active;FirstIssue;02.04.2016;08.04.2016;StandardMail
522;100000975;CARDSYSTEM;100000975;1;432252751;03.08.2014;02.08.2018;active;FirstIssue;06.08.2014;12.08.2014;StandardMail
523;100000976;CARDSYSTEM;100000976;1;986187256;28.01.2015;27.01.2019;active;FirstIssue;01.02.2015;06.02.2015;StandardMail
524;100000977;CARDSYSTEM;100000977;1;370065469;21.02.2013;20.02.2017;active;FirstIssue;25.02.2013;03.03.2013;StandardMail
525;100000978;CARDSYSTEM;100000978;1;378817638;28.03.2016;27.03.2020;active;FirstIssue;31.03.2016;07.04.2016;StandardMail
526;100000979;CARDSYSTEM;100000979;1;101668027;07.07.2016;06.07.2020;active;FirstIssue;13.07.2016;17.07.2016;StandardMail
527;100000980;CARDSYSTEM;100000980;1;170787687;28.08.2015;27.08.2019;active;FirstIssue;02.09.2015;05.09.2015;StandardMail
528;100000981;CARDSYSTEM;100000981;1;460919217;03.06.2017;02.06.2021;active;FirstIssue;08.06.2017;14.06.2017;StandardMail
529;100000982;CARDSYSTEM;100000982;1;662751435;12.02.2017;11.02.2021;active;FirstIssue;16.02.2017;21.02.2017;StandardMail
530;100000983;CARDSYSTEM;100000983;1;657425987;26.07.2014;25.07.2018;active;FirstIssue;29.07.2014;04.08.2014;StandardMail
531;100000984;CARDSYSTEM;100000984;1;293493010;21.12.2012;20.12.2016;active;FirstIssue;25.12.2012;31.12.2012;StandardMail
532;100000985;CARDSYSTEM;100000985;1;861413528;12.11.2013;11.11.2017;active;FirstIssue;16.11.2013;23.11.2013;StandardMail
533;100000986;CARDSYSTEM;100000986;1;174839741;07.02.2012;06.02.2016;active;FirstIssue;10.02.2012;18.02.2012;StandardMail
534;100000987;CARDSYSTEM;100000987;1;459090336;05.04.2012;04.04.2016;active;FirstIssue;08.04.2012;16.04.2012;StandardMail
535;100000988;CARDSYSTEM;100000988;1;229990266;10.04.2016;09.04.2020;active;FirstIssue;16.04.2016;21.04.2016;StandardMail
536;100000989;CARDSYSTEM;100000989;1;659517134;03.06.2013;02.06.2017;active;FirstIssue;09.06.2013;11.06.2013;StandardMail
537;100000990;CARDSYSTEM;100000990;1;86400389;13.12.2014;12.12.2018;active;FirstIssue;18.12.2014;23.12.2014;StandardMail
538;100000991;CARDSYSTEM;100000991;1;616515096;18.11.2012;17.11.2016;active;FirstIssue;22.11.2012;29.11.2012;StandardMail
539;100000992;CARDSYSTEM;100000992;1;707804125;08.01.2015;07.01.2019;active;FirstIssue;13.01.2015;18.01.2015;StandardMail
540;100000993;CARDSYSTEM;100000993;1;946767681;12.11.2016;11.11.2020;active;FirstIssue;16.11.2016;23.11.2016;StandardMail
541;100000994;CARDSYSTEM;100000994;1;847848106;25.06.2014;24.06.2018;active;FirstIssue;30.06.2014;05.07.2014;StandardMail
542;100000995;CARDSYSTEM;100000995;1;484829131;17.08.2012;16.08.2016;active;FirstIssue;23.08.2012;27.08.2012;StandardMail
543;100000996;CARDSYSTEM;100000996;1;748576835;27.11.2012;26.11.2016;active;FirstIssue;01.12.2012;06.12.2012;StandardMail
544;100000997;CARDSYSTEM;100000997;1;353889375;28.03.2017;27.03.2021;active;FirstIssue;03.04.2017;05.04.2017;StandardMail
545;100000998;CARDSYSTEM;100000998;1;111738240;22.01.2013;21.01.2017;active;FirstIssue;28.01.2013;30.01.2013;StandardMail
546;100000999;CARDSYSTEM;100000999;1;873618744;30.01.2012;29.01.2016;active;FirstIssue;02.02.2012;07.02.2012;StandardMail
547;100001000;CARDSYSTEM;100001000;1;196997922;19.04.2016;18.04.2020;active;FirstIssue;22.04.2016;27.04.2016;StandardMail
548;100001001;CARDSYSTEM;100001001;1;565992185;16.02.2017;15.02.2021;active;FirstIssue;22.02.2017;24.02.2017;StandardMail
549;100001002;CARDSYSTEM;100001002;1;1004415733;06.07.2013;05.07.2017;active;FirstIssue;12.07.2013;15.07.2013;StandardMail
550;100001003;CARDSYSTEM;100001003;1;483012252;02.08.2013;01.08.2017;active;FirstIssue;07.08.2013;13.08.2013;StandardMail
551;100001004;CARDSYSTEM;100001004;1;851991941;27.08.2013;26.08.2017;active;FirstIssue;30.08.2013;05.09.2013;StandardMail
552;100001005;CARDSYSTEM;100001005;1;295381397;02.08.2015;01.08.2019;active;FirstIssue;07.08.2015;12.08.2015;StandardMail
553;100001006;CARDSYSTEM;100001006;1;232101087;25.04.2014;24.04.2018;active;FirstIssue;29.04.2014;05.05.2014;StandardMail
554;100001007;CARDSYSTEM;100001007;1;50548019;28.03.2016;27.03.2020;active;FirstIssue;03.04.2016;07.04.2016;StandardMail
555;100001008;CARDSYSTEM;100001008;1;686012239;27.05.2013;26.05.2017;active;FirstIssue;02.06.2013;05.06.2013;StandardMail
556;100001009;CARDSYSTEM;100001009;1;233465685;14.03.2013;13.03.2017;active;FirstIssue;18.03.2013;23.03.2013;StandardMail
557;100001010;CARDSYSTEM;100001010;1;539001431;19.03.2013;18.03.2017;active;FirstIssue;25.03.2013;28.03.2013;StandardMail
558;100001011;CARDSYSTEM;100001011;1;722985138;08.04.2012;07.04.2016;active;FirstIssue;13.04.2012;18.04.2012;StandardMail
559;100001012;CARDSYSTEM;100001012;1;657807999;19.02.2012;18.02.2016;active;FirstIssue;22.02.2012;27.02.2012;StandardMail
560;100001013;CARDSYSTEM;100001013;1;465155479;27.01.2012;26.01.2016;active;FirstIssue;31.01.2012;05.02.2012;StandardMail
561;100001014;CARDSYSTEM;100001014;1;1006696437;21.04.2015;20.04.2019;active;FirstIssue;27.04.2015;29.04.2015;StandardMail
562;100001015;CARDSYSTEM;100001015;1;143298300;06.08.2015;05.08.2019;active;FirstIssue;11.08.2015;14.08.2015;StandardMail
563;100001016;CARDSYSTEM;100001016;1;622089693;12.09.2012;11.09.2016;active;FirstIssue;17.09.2012;22.09.2012;StandardMail
564;100001017;CARDSYSTEM;100001017;1;853571754;15.03.2017;14.03.2021;active;FirstIssue;19.03.2017;24.03.2017;StandardMail
565;100001018;CARDSYSTEM;100001018;1;695291153;10.04.2014;09.04.2018;active;FirstIssue;14.04.2014;18.04.2014;StandardMail
566;100001019;CARDSYSTEM;100001019;1;755287752;04.02.2014;03.02.2018;active;FirstIssue;07.02.2014;14.02.2014;StandardMail
567;100001020;CARDSYSTEM;100001020;1;833641522;29.09.2013;28.09.2017;active;FirstIssue;02.10.2013;09.10.2013;StandardMail
568;100001021;CARDSYSTEM;100001021;1;892126009;15.04.2017;14.04.2021;active;FirstIssue;20.04.2017;24.04.2017;StandardMail
569;100001022;CARDSYSTEM;100001022;1;129266389;26.08.2012;25.08.2016;active;FirstIssue;31.08.2012;04.09.2012;StandardMail
570;100001023;CARDSYSTEM;100001023;1;833140982;19.10.2014;18.10.2018;active;FirstIssue;23.10.2014;30.10.2014;StandardMail
571;100001024;CARDSYSTEM;100001024;1;537585780;16.06.2013;15.06.2017;active;FirstIssue;19.06.2013;25.06.2013;StandardMail
572;100001025;CARDSYSTEM;100001025;1;530330546;10.03.2016;09.03.2020;active;FirstIssue;13.03.2016;19.03.2016;StandardMail
573;100001026;CARDSYSTEM;100001026;1;129489143;09.02.2017;08.02.2021;active;FirstIssue;12.02.2017;20.02.2017;StandardMail
574;100001027;CARDSYSTEM;100001027;1;721284793;11.01.2013;10.01.2017;active;FirstIssue;15.01.2013;20.01.2013;StandardMail
575;100001028;CARDSYSTEM;100001028;1;163868418;23.03.2013;22.03.2017;active;FirstIssue;26.03.2013;02.04.2013;StandardMail
576;100001029;CARDSYSTEM;100001029;1;460634670;27.04.2012;26.04.2016;active;FirstIssue;01.05.2012;07.05.2012;StandardMail
577;100001030;CARDSYSTEM;100001030;1;485033959;07.06.2014;06.06.2018;active;FirstIssue;10.06.2014;16.06.2014;StandardMail
578;100001031;CARDSYSTEM;100001031;1;799675475;05.07.2014;04.07.2018;active;FirstIssue;10.07.2014;14.07.2014;StandardMail
579;100001032;CARDSYSTEM;100001032;1;609354702;12.04.2017;11.04.2021;active;FirstIssue;18.04.2017;21.04.2017;StandardMail
580;100001033;CARDSYSTEM;100001033;1;382402006;02.06.2014;01.06.2018;active;FirstIssue;05.06.2014;10.06.2014;StandardMail
581;100001034;CARDSYSTEM;100001034;1;971170986;24.11.2013;23.11.2017;active;FirstIssue;28.11.2013;04.12.2013;StandardMail
582;100001035;CARDSYSTEM;100001035;1;666218171;14.07.2014;13.07.2018;active;FirstIssue;20.07.2014;23.07.2014;StandardMail
583;100001036;CARDSYSTEM;100001036;1;111940466;24.10.2012;23.10.2016;active;FirstIssue;29.10.2012;04.11.2012;StandardMail
584;100001037;CARDSYSTEM;100001037;1;725942889;16.03.2017;15.03.2021;active;FirstIssue;19.03.2017;25.03.2017;StandardMail
585;100001038;CARDSYSTEM;100001038;1;213995660;20.10.2014;19.10.2018;active;FirstIssue;25.10.2014;29.10.2014;StandardMail
586;100001039;CARDSYSTEM;100001039;1;33878337;23.02.2016;22.02.2020;active;FirstIssue;27.02.2016;04.03.2016;StandardMail
587;100001040;CARDSYSTEM;100001040;1;223995543;27.10.2016;26.10.2020;active;FirstIssue;01.11.2016;05.11.2016;StandardMail
588;100001041;CARDSYSTEM;100001041;1;354667303;31.05.2012;30.05.2016;active;FirstIssue;03.06.2012;08.06.2012;StandardMail
589;100001042;CARDSYSTEM;100001042;1;888530737;22.04.2016;21.04.2020;active;FirstIssue;27.04.2016;30.04.2016;StandardMail
590;100001043;CARDSYSTEM;100001043;1;852740612;17.04.2017;16.04.2021;active;FirstIssue;23.04.2017;28.04.2017;StandardMail
591;100001044;CARDSYSTEM;100001044;1;378306311;26.09.2016;25.09.2020;active;FirstIssue;30.09.2016;07.10.2016;StandardMail
592;100001045;CARDSYSTEM;100001045;1;725817082;23.12.2012;22.12.2016;active;FirstIssue;29.12.2012;02.01.2013;StandardMail
593;100001046;CARDSYSTEM;100001046;1;775680801;10.08.2015;09.08.2019;active;FirstIssue;13.08.2015;18.08.2015;StandardMail
594;100001047;CARDSYSTEM;100001047;1;147244258;04.07.2014;03.07.2018;active;FirstIssue;09.07.2014;13.07.2014;StandardMail
595;100001048;CARDSYSTEM;100001048;1;541146251;16.06.2016;15.06.2020;active;FirstIssue;21.06.2016;25.06.2016;StandardMail
596;100001049;CARDSYSTEM;100001049;1;29816945;18.07.2015;17.07.2019;active;FirstIssue;23.07.2015;28.07.2015;StandardMail
597;100001050;CARDSYSTEM;100001050;1;148745701;04.05.2015;03.05.2019;active;FirstIssue;08.05.2015;13.05.2015;StandardMail
598;100001051;CARDSYSTEM;100001051;1;72504721;09.09.2013;08.09.2017;active;FirstIssue;13.09.2013;18.09.2013;StandardMail
599;100001052;CARDSYSTEM;100001052;1;468588270;04.07.2016;03.07.2020;active;FirstIssue;07.07.2016;13.07.2016;StandardMail
600;100001053;CARDSYSTEM;100001053;1;792110572;29.08.2014;28.08.2018;active;FirstIssue;04.09.2014;09.09.2014;StandardMail
601;100001054;CARDSYSTEM;100001054;1;11956257;09.12.2016;08.12.2020;active;FirstIssue;12.12.2016;19.12.2016;StandardMail
602;100001055;CARDSYSTEM;100001055;1;689721825;18.02.2015;17.02.2019;active;FirstIssue;21.02.2015;26.02.2015;StandardMail
603;100001056;CARDSYSTEM;100001056;1;51407026;15.07.2012;14.07.2016;active;FirstIssue;20.07.2012;26.07.2012;StandardMail
604;100001057;CARDSYSTEM;100001057;1;443352555;23.12.2014;22.12.2018;active;FirstIssue;29.12.2014;31.12.2014;StandardMail
605;100001058;CARDSYSTEM;100001058;1;681265172;14.10.2016;13.10.2020;active;FirstIssue;17.10.2016;22.10.2016;StandardMail
606;100001059;CARDSYSTEM;100001059;1;960183911;02.08.2013;01.08.2017;active;FirstIssue;08.08.2013;11.08.2013;StandardMail
